"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Jacob deGrom","NYM","47","31","2.35","122","122","3","1","0","0","0","782.1","3058","573","229","204","70","178","9","15","15","0","1013","10954"
"Walker Buehler","LAD","33","9","2.75","81","81","2","0","0","0","0","484.0","1913","355","169","148","51","113","2","18","13","0","539","19374"
"Clayton Kershaw","LAD","58","23","2.76","109","109","1","0","0","0","0","678.1","2675","546","227","208","89","127","0","8","27","4","734","2036"
"Max Scherzer","WSN","57","28","2.76","121","121","6","1","0","0","0","766.0","3039","558","252","235","90","187","9","38","14","1","1045","3137"
"Justin Verlander","- - -","53","23","2.82","102","102","3","2","0","0","0","649.0","2550","466","211","203","93","152","4","18","14","2","816","8700"
"Hyun-Jin Ryu","- - -","40","24","2.84","98","98","2","2","0","0","0","560.1","2276","509","198","177","68","124","6","10","6","1","523","14444"
"Corey Kluber","- - -","44","17","2.85","80","80","8","5","0","0","0","508.2","2010","405","178","161","55","109","2","14","10","0","581","2429"
"Mike Clevinger","- - -","40","18","2.90","82","82","2","2","0","0","0","481.2","1936","378","163","155","48","172","2","9","9","0","542","12808"
"Chris Sale","BOS","35","23","3.08","84","84","2","1","0","0","0","519.2","2080","390","192","178","59","114","0","35","9","0","763","10603"
"Gerrit Cole","- - -","64","29","3.08","129","129","5","3","0","0","0","808.2","3217","626","296","277","108","208","1","17","27","3","1050","13125"
"Luis Severino","NYY","34","15","3.13","66","66","1","1","0","0","0","396.2","1611","329","151","138","40","103","0","12","14","0","467","15890"
"Taijuan Walker","- - -","20","15","3.20","60","60","0","0","0","0","0","315.0","1335","274","138","112","32","119","7","16","11","1","295","11836"
"Shane Bieber","CLE","41","17","3.23","78","78","3","2","0","0","0","490.1","1994","432","189","176","60","115","1","12","20","1","626","19427"
"Brandon Woodruff","MIL","24","15","3.26","66","66","1","0","0","0","0","373.0","1497","292","139","135","37","100","1","17","5","1","416","16162"
"Zack Greinke","- - -","62","29","3.26","130","130","2","0","0","0","0","806.1","3203","706","308","292","97","151","5","12","24","1","757","1943"
"Stephen Strasburg","WSN","44","20","3.28","90","90","1","1","0","0","0","541.0","2204","434","211","197","60","156","13","26","16","1","634","10131"
"Jack Flaherty","STL","31","23","3.31","86","86","0","0","0","0","0","470.0","1903","343","185","173","62","160","7","28","17","0","549","17479"
"Kyle Hendricks","CHC","50","35","3.33","119","119","3","2","0","0","0","714.1","2923","676","286","264","88","147","8","26","3","0","585","12049"
"Trevor Bauer","- - -","53","37","3.35","120","120","4","3","0","0","0","740.2","3070","608","306","276","96","253","4","39","31","1","904","12703"
"Chris Bassitt","OAK","27","13","3.37","63","63","1","1","0","0","0","363.2","1524","315","148","136","43","106","1","28","12","1","341","12304"
"Charlie Morton","- - -","56","21","3.40","117","117","0","0","0","0","0","657.1","2737","538","273","248","61","221","2","58","17","1","776","4676"
"Rich Hill","- - -","35","20","3.40","89","89","1","0","0","0","0","460.0","1881","358","182","174","65","159","6","30","8","3","508","4806"
"Aaron Nola","PHI","52","35","3.43","125","125","3","2","0","0","0","760.2","3116","640","302","290","88","234","11","28","9","2","864","16149"
"Blake Snell","- - -","40","25","3.44","107","107","0","0","0","0","0","547.1","2254","437","223","209","66","232","5","5","45","2","654","13543"
"Dallas Keuchel","- - -","47","29","3.45","105","105","2","0","0","0","0","623.2","2618","595","261","239","63","193","1","15","19","0","471","9434"
"Miles Mikolas","STL","27","18","3.45","65","65","2","2","0","0","0","388.2","1589","382","161","149","43","62","5","20","7","3","293","9803"
"Marcus Stroman","- - -","34","39","3.45","105","105","2","0","0","0","0","599.1","2508","594","269","230","58","182","3","14","19","2","493","13431"
"Carlos Carrasco","CLE","41","25","3.46","86","86","4","1","0","0","0","519.2","2112","471","207","200","64","123","7","19","26","0","608","6632"
"Zack Wheeler","- - -","37","29","3.54","107","107","1","1","0","0","0","660.2","2743","607","279","260","62","189","8","25","11","1","660","10310"
"Sandy Alcantara","MIA","16","28","3.55","65","65","3","2","0","0","0","393.0","1649","340","181","155","40","156","7","16","10","2","325","18684"
"Yu Darvish","- - -","32","30","3.59","101","101","0","0","0","0","0","592.0","2417","479","247","236","86","175","3","31","34","2","708","13074"
"Lance Lynn","- - -","51","35","3.60","125","125","2","1","0","0","0","725.2","3061","634","314","290","85","269","10","31","31","0","749","2520"
"Gio Gonzalez","- - -","27","23","3.60","85","85","0","0","0","0","0","470.1","2000","423","198","188","50","204","7","9","17","0","428","7448"
"Alex Wood","- - -","32","17","3.65","77","77","0","0","0","0","0","424.0","1763","388","189","172","52","116","12","25","11","1","408","13781"
"Noah Syndergaard","NYM","24","14","3.67","64","64","3","2","0","0","0","382.1","1593","371","170","156","33","92","5","14","9","0","391","11762"
"James Paxton","- - -","39","18","3.69","87","87","2","1","0","0","0","468.2","1925","408","203","192","59","142","1","7","33","2","578","11828"
"Sean Manaea","OAK","39","28","3.69","92","92","3","3","0","0","0","519.2","2160","491","233","213","63","130","2","24","24","1","451","15873"
"Sonny Gray","- - -","37","37","3.70","105","105","1","0","0","0","0","573.1","2417","485","261","236","61","228","3","23","42","3","624","12768"
"Max Fried","ATL","33","14","3.72","65","65","1","0","0","0","0","336.0","1423","333","152","139","34","109","3","19","19","2","340","13743"
"Luis Castillo","CIN","35","43","3.75","110","110","1","0","0","0","0","628.1","2615","528","290","262","76","232","4","21","13","7","682","15689"
"Carlos Rodon","CHW","19","19","3.77","57","57","1","1","0","0","0","327.0","1374","262","148","137","39","132","2","22","18","0","357","16137"
"David Price","- - -","28","15","3.77","68","68","1","0","0","0","0","362.2","1522","336","165","152","48","107","0","18","6","1","384","3184"
"Jose Berrios","MIN","51","35","3.80","120","120","4","1","0","0","0","714.2","2984","631","327","302","88","218","1","45","25","2","725","14168"
"Lance McCullers Jr.","HOU","27","15","3.82","71","71","0","0","0","0","0","391.1","1644","323","182","166","31","155","1","29","25","2","433","14120"
"Zach Davies","- - -","41","33","3.84","109","109","0","0","0","0","0","583.2","2472","573","273","249","66","198","6","20","9","0","400","13183"
"Robbie Ray","- - -","43","25","3.86","115","115","1","1","0","0","0","620.2","2627","503","281","266","107","297","12","17","29","0","824","11486"
"Patrick Corbin","- - -","47","42","3.87","127","127","2","2","0","0","0","753.1","3176","732","347","324","93","230","15","14","23","1","796","9323"
"Jameson Taillon","- - -","29","24","3.92","82","82","3","1","0","0","0","450.0","1905","450","207","196","51","126","8","17","13","0","423","11674"
"Cole Hamels","- - -","27","26","3.94","84","84","2","0","0","0","0","483.2","2051","445","234","212","64","175","2","37","14","3","438","4972"
"Frankie Montas","OAK","25","19","3.95","57","57","0","0","0","0","0","318.2","1368","323","160","140","37","96","1","12","20","0","318","14309"
"Tyler Glasnow","- - -","19","16","3.95","61","61","0","0","0","0","0","318.2","1315","259","150","140","48","117","3","5","24","1","407","14374"
"Chase Anderson","- - -","30","21","3.95","97","97","0","0","0","0","0","487.0","2031","429","224","214","77","168","2","26","1","1","423","6895"
"Madison Bumgarner","- - -","24","35","3.98","95","95","2","1","0","0","0","560.2","2337","523","268","248","85","138","12","32","8","2","512","5524"
"CC Sabathia","NYY","28","20","4.01","78","78","0","0","0","0","0","408.0","1753","401","200","182","67","140","1","19","8","0","365","404"
"Kenta Maeda","- - -","36","26","4.02","98","98","0","0","0","0","0","517.1","2136","438","245","231","72","154","6","14","10","2","569","18498"
"Jordan Montgomery","NYY","16","15","4.02","65","65","0","0","0","0","0","333.1","1399","308","159","149","43","103","0","5","16","1","322","16511"
"Pablo Lopez","MIA","18","21","4.03","61","61","0","0","0","0","0","328.1","1365","302","155","147","37","88","10","24","11","2","311","17085"
"Kevin Gausman","- - -","36","37","4.05","111","111","0","0","0","0","0","624.2","2637","603","296","281","85","196","3","18","24","2","627","14107"
"Michael Pineda","- - -","25","14","4.05","61","61","0","0","0","0","0","335.1","1397","334","164","151","54","72","1","8","13","1","315","5372"
"Wade Miley","- - -","35","30","4.06","102","102","1","1","0","0","0","520.1","2270","521","258","235","59","217","2","17","7","3","427","8779"
"German Marquez","COL","49","36","4.09","123","123","4","2","0","0","0","732.0","3065","698","357","333","93","210","10","24","38","1","744","15038"
"Nathan Eovaldi","- - -","20","15","4.10","61","61","0","0","0","0","0","318.1","1334","317","156","145","42","77","1","16","13","0","307","9132"
"Brad Keller","KCR","27","31","4.11","77","77","2","1","0","0","0","439.2","1893","434","213","201","36","180","3","19","20","1","329","15734"
"Anthony DeSclafani","- - -","27","23","4.12","79","79","2","2","0","0","0","430.2","1791","395","208","197","74","124","8","10","10","1","408","13050"
"Eduardo Rodriguez","BOS","44","22","4.14","99","99","0","0","0","0","0","558.1","2371","539","264","257","72","191","4","18","5","2","610","13164"
"Jake Odorizzi","- - -","35","31","4.15","105","105","0","0","0","0","0","527.0","2224","462","268","243","77","203","4","15","6","0","521","6397"
"Adam Wainwright","STL","40","28","4.16","91","91","4","0","0","0","0","517.2","2214","515","249","239","65","173","15","25","8","1","454","2233"
"Mike Fiers","- - -","41","26","4.19","104","104","1","1","0","0","0","574.0","2418","560","279","267","105","171","1","33","29","2","450","7754"
"Danny Duffy","KCR","32","35","4.19","98","98","0","0","0","0","0","548.0","2344","532","272","255","73","201","2","18","26","2","507","3542"
"Mike Leake","- - -","32","34","4.19","94","94","2","1","0","0","0","568.2","2401","635","305","265","84","98","8","25","7","0","376","10130"
"Jhoulys Chacin","- - -","31","30","4.21","92","92","0","0","0","0","0","479.1","2043","429","240","224","63","189","9","30","15","1","413","2608"
"Joey Lucchesi","- - -","18","23","4.22","66","66","0","0","0","0","0","330.1","1389","308","161","155","50","110","2","8","13","0","341","19320"
"Jon Lester","- - -","50","31","4.23","122","122","1","0","0","0","0","665.1","2876","710","359","313","99","221","7","19","12","0","585","4930"
"Lucas Giolito","CHW","39","34","4.25","99","99","5","3","0","0","0","580.2","2402","467","289","274","86","220","3","25","30","0","617","15474"
"Merrill Kelly","ARI","22","23","4.26","57","57","0","0","0","0","0","331.2","1390","326","165","157","49","89","8","5","6","0","286","11156"
"Anibal Sanchez","- - -","25","26","4.26","82","82","0","0","0","0","0","437.0","1873","433","220","207","65","135","13","15","7","6","392","3284"
"Michael Wacha","- - -","28","24","4.28","88","88","1","1","0","0","0","446.0","1911","454","230","212","63","162","7","12","12","1","397","14078"
"Masahiro Tanaka","NYY","39","29","4.28","98","98","3","3","0","0","0","561.1","2328","550","286","267","97","123","1","18","17","0","544","15764"
"Marco Gonzales","- - -","39","30","4.28","94","94","2","0","0","0","0","534.0","2254","561","275","254","72","129","3","19","6","1","432","15467"
"Kyle Freeland","COL","34","36","4.28","106","106","0","0","0","0","0","575.2","2499","607","289","274","78","211","9","22","7","2","433","16256"
"Kyle Gibson","- - -","43","38","4.29","120","120","1","1","0","0","0","683.2","2931","688","356","326","90","255","3","27","23","0","600","10123"
"J.A. Happ","- - -","46","32","4.31","112","112","0","0","0","0","0","618.0","2610","596","314","296","106","186","2","18","12","1","582","7410"
"Mike Minor","- - -","34","32","4.34","91","91","3","2","0","0","0","533.1","2213","488","266","257","81","160","2","20","8","1","502","10021"
"Joe Musgrove","- - -","27","41","4.36","91","91","1","1","0","0","0","499.2","2115","485","265","242","66","128","6","32","11","0","494","12970"
"Jake Arrieta","- - -","41","42","4.37","111","111","0","0","0","0","0","595.1","2562","601","337","289","88","215","9","29","39","1","509","4153"
"Jon Gray","COL","41","31","4.37","101","101","0","0","0","0","0","564.1","2402","561","295","274","72","183","5","17","21","4","554","14916"
"Julio Teheran","- - -","31","37","4.37","106","106","0","0","0","0","0","570.0","2436","493","296","277","91","256","9","32","14","4","496","6797"
"Alex Cobb","- - -","26","35","4.38","84","84","1","0","0","0","0","469.0","1994","485","252","228","66","132","7","15","16","2","356","6562"
"Johnny Cueto","SFG","20","20","4.39","65","65","0","0","0","0","0","362.2","1555","369","185","177","54","117","3","19","8","3","313","6893"
"Mike Foltynewicz","- - -","33","40","4.41","101","101","2","1","0","0","0","561.1","2392","528","294","275","93","193","7","23","18","2","526","10811"
"Chris Archer","- - -","19","29","4.41","85","85","0","0","0","0","0","471.1","2026","465","251","231","71","164","5","15","27","0","558","6345"
"Carlos Martinez","STL","22","29","4.42","71","71","2","2","0","0","0","407.2","1770","377","222","200","46","166","9","30","17","0","389","11682"
"Brett Anderson","- - -","27","27","4.42","85","85","0","0","0","0","0","415.2","1776","455","217","204","49","110","2","12","9","1","242","8223"
"Chad Kuhl","PIT","18","24","4.42","68","68","0","0","0","0","0","340.0","1472","322","186","167","46","163","8","19","21","1","307","14975"
"Trevor Williams","- - -","32","37","4.43","104","104","1","1","0","0","0","559.0","2398","564","294","275","78","186","10","26","9","0","447","16977"
"Jeff Samardzija","SFG","21","34","4.44","78","78","1","1","0","0","0","450.1","1871","424","236","222","71","111","6","16","9","0","381","3254"
"Andrew Cashner","- - -","25","33","4.46","79","79","0","0","0","0","0","446.1","1926","460","246","221","58","175","3","16","22","1","272","8782"
"Tyler Mahle","CIN","20","28","4.47","80","80","0","0","0","0","0","406.2","1765","396","220","202","66","154","8","23","7","2","433","16358"
"Zach Eflin","PHI","30","35","4.48","91","91","3","2","0","0","0","512.0","2189","553","281","255","82","124","11","17","10","0","449","13774"
"Jose Quintana","- - -","37","34","4.49","105","105","1","1","0","0","0","565.2","2428","559","303","282","73","198","7","15","27","1","560","11423"
"Drew Pomeranz","- - -","20","20","4.50","61","61","0","0","0","0","0","300.1","1329","316","158","150","47","137","0","10","11","2","305","11426"
"Jose Urena","- - -","29","37","4.50","94","94","1","0","0","0","0","506.1","2165","491","269","253","69","185","15","34","11","2","353","11589"
"Ivan Nova","- - -","32","36","4.50","98","98","4","1","0","0","0","554.0","2362","621","303","277","89","127","7","20","26","1","368","1994"
"Eric Lauer","- - -","17","23","4.51","64","64","0","0","0","0","0","319.1","1415","344","181","160","45","122","6","13","7","2","289","19316"
"Luke Weaver","- - -","20","28","4.54","67","67","0","0","0","0","0","341.0","1464","345","179","172","45","108","6","9","3","0","347","16918"
"Jason Vargas","- - -","32","29","4.56","81","81","2","2","0","0","0","420.1","1802","418","224","213","65","151","5","16","11","1","341","8044"
"Dan Straily","- - -","16","19","4.59","64","64","0","0","0","0","0","337.1","1447","330","183","172","63","127","9","13","4","0","287","9460"
"Michael Fulmer","DET","14","28","4.62","63","63","1","0","0","0","0","337.1","1426","335","191","173","41","103","3","14","5","1","251","13218"
"Tanner Roark","- - -","34","39","4.65","103","103","0","0","0","0","0","571.1","2464","596","316","295","90","187","9","31","13","1","509","8753"
"Andrew Heaney","LAA","24","28","4.72","82","82","1","1","0","0","0","451.2","1914","442","249","237","83","131","2","20","19","0","500","15423"
"Reynaldo Lopez","CHW","21","31","4.74","82","82","1","0","0","0","0","449.2","1947","447","259","237","77","170","1","20","16","5","377","16400"
"Matthew Boyd","DET","30","49","4.74","113","113","2","1","0","0","0","620.1","2665","613","347","327","105","193","4","33","23","6","621","15440"
"Steven Matz","- - -","26","37","4.75","95","95","1","1","0","0","0","487.0","2110","502","278","257","87","159","11","25","8","0","465","13361"
"Jakob Junis","KCR","26","33","4.76","88","88","1","0","0","0","0","491.1","2125","524","280","260","86","134","3","36","20","2","442","13619"
"James Shields","CHW","12","22","4.77","54","54","0","0","0","0","0","321.0","1381","304","186","170","61","129","3","12","16","1","257","7059"
"Dylan Bundy","- - -","35","49","4.87","114","114","3","1","0","0","0","633.2","2701","624","371","343","116","200","2","27","16","2","630","12917"
"Rick Porcello","- - -","43","43","4.87","110","110","3","0","0","0","0","628.0","2722","685","377","340","101","156","3","30","14","3","568","2717"
"Zack Godley","- - -","24","30","4.89","74","74","0","0","0","0","0","397.1","1740","391","230","216","45","174","6","23","38","3","402","14862"
"Yusei Kikuchi","SEA","14","20","4.90","58","58","1","1","0","0","0","312.0","1332","318","182","170","57","105","0","7","10","1","268","20633"
"Tyler Anderson","- - -","21","29","4.97","81","81","1","0","0","0","0","435.0","1854","436","252","240","74","142","1","10","14","5","384","12880"
"Antonio Senzatela","COL","32","32","4.97","87","87","1","0","0","0","0","476.1","2080","529","279","263","63","159","7","22","5","7","316","15488"
"Martin Perez","- - -","34","37","4.98","107","107","0","0","0","0","0","567.0","2505","657","347","314","81","210","4","21","13","2","403","6902"
"Vince Velasquez","PHI","20","31","4.99","90","90","0","0","0","0","0","427.2","1853","413","249","237","74","176","6","26","16","1","455","11189"
"Aaron Sanchez","- - -","11","24","5.09","61","61","0","0","0","0","0","300.2","1368","317","188","170","39","156","4","23","12","1","249","11490"
"Nick Pivetta","- - -","28","32","5.12","92","92","1","0","0","0","0","478.0","2061","483","282","272","81","183","0","15","21","3","515","15454"
"Clayton Richard","- - -","16","31","5.14","69","69","2","1","0","0","0","401.1","1741","452","245","229","52","137","7","22","17","5","281","3551"
"Jordan Lyles","- - -","21","28","5.33","69","69","0","0","0","0","0","356.0","1561","389","224","211","74","128","2","6","17","0","316","7593"
"Derek Holland","- - -","16","31","5.36","70","70","1","0","0","0","0","361.0","1604","371","234","215","70","174","8","16","10","1","329","4141"
"Marco Estrada","- - -","17","25","5.37","66","66","0","0","0","0","0","353.1","1539","364","214","211","67","129","0","7","6","0","290","1118"
"Homer Bailey","- - -","21","32","5.44","71","71","1","0","0","0","0","368.2","1643","421","236","223","56","131","12","15","10","2","298","8362"
"Felix Hernandez","SEA","15","26","5.46","59","59","0","0","0","0","0","308.1","1356","325","209","187","60","108","0","24","24","0","258","4772"
"Jordan Zimmermann","DET","16","34","5.74","79","79","0","0","0","0","0","407.1","1789","494","277","260","76","96","4","15","7","0","300","4505"
"Matt Harvey","- - -","19","34","6.23","81","81","0","0","0","0","0","388.2","1754","458","279","269","74","138","5","18","14","2","303","11713"
